order_id,order_date,customer_id,city,customer_segment,product_id,product_name,category,quantity,unit_price_krw,discount_rate,sales_amount_krw,channel,payment_method,returned,rating
T0001,2026-01-04,C011,Yongin,Basic,P002,Smartphone,Electronics,3,950000,0,2850000,Mobile App,Credit Card,No,
T0002,2026-03-11,C011,Yongin,Basic,P012,Monitor,Electronics,1,390000,0.05,370500.0,In-Store,KakaoPay,Yes,3
T0003,2026-03-19,C004,Daegu,Standard,P009,Pen Set,Stationery,1,12000,0,12000,Online,Naver Pay,No,
T0004,2026-03-17,C004,Daegu,Standard,P008,Notebook,Stationery,1,6000,0,6000,Mobile App,Naver Pay,No,4
T0005,2026-01-20,C006,Gwangju,Standard,P005,Desk,Furniture,1,310000,0,310000,In-Store,Credit Card,No,5
T0006,2026-03-19,C006,Gwangju,Standard,P006,Coffee Beans,Grocery,1,25000,0,25000,Online,Credit Card,No,5
T0007,2026-03-12,C007,Suwon,Basic,P002,Smartphone,Electronics,1,950000,0.15,807500.0,Mobile App,KakaoPay,No,4
T0008,2026-01-06,C012,Anyang,Standard,P002,Smartphone,Electronics,2,950000,0,1900000,In-Store,Credit Card,No,4
T0009,2026-02-28,C007,Suwon,Basic,P005,Desk,Furniture,2,310000,0,620000,Online,KakaoPay,No,4
T0010,2026-03-31,C011,Yongin,Basic,P005,Desk,Furniture,4,310000,0.15,1054000.0,Mobile App,KakaoPay,Yes,
T0011,2026-02-01,C009,Jeju,Standard,P012,Monitor,Electronics,1,390000,0.05,370500.0,In-Store,KakaoPay,No,
T0012,2026-01-08,C011,Yongin,Basic,P006,Coffee Beans,Grocery,1,25000,0,25000,Online,Bank Transfer,No,5
T0013,2026-03-14,C002,Busan,Standard,P004,Office Chair,Furniture,4,220000,0,880000,Mobile App,Naver Pay,No,5
T0014,2026-01-19,C011,Yongin,Basic,P008,Notebook,Stationery,1,6000,0,6000,In-Store,Bank Transfer,No,5
T0015,2026-02-24,C012,Anyang,Standard,P010,Backpack,Accessories,4,85000,0.05,323000.0,Online,Naver Pay,No,4
T0016,2026-01-15,C002,Busan,Standard,P001,Laptop,Electronics,1,1200000,0,1200000,Mobile App,Credit Card,No,5
T0017,2026-03-18,C007,Suwon,Basic,P007,Green Tea,Grocery,5,18000,0.1,81000.0,In-Store,Credit Card,No,5
T0018,2026-01-15,C011,Yongin,Basic,P012,Monitor,Electronics,2,390000,0.1,702000.0,Online,Bank Transfer,No,
T0019,2026-02-25,C002,Busan,Standard,P005,Desk,Furniture,1,310000,0,310000,Mobile App,Bank Transfer,No,
T0020,2026-03-06,C009,Jeju,Standard,P003,Headphones,Electronics,4,150000,0.15,510000.0,In-Store,KakaoPay,No,
T0021,2026-01-21,C003,Incheon,Premium,P006,Coffee Beans,Grocery,2,25000,0.1,45000.0,Online,Bank Transfer,No,5
T0022,2026-01-15,C008,Ulsan,Premium,P001,Laptop,Electronics,4,1200000,0,4800000,Mobile App,Credit Card,No,4
T0023,2026-03-04,C002,Busan,Standard,P012,Monitor,Electronics,3,390000,0.1,1053000.0,In-Store,Naver Pay,No,4
T0024,2026-02-03,C009,Jeju,Standard,P003,Headphones,Electronics,2,150000,0.1,270000.0,Online,KakaoPay,No,4
T0025,2026-02-21,C012,Anyang,Standard,P005,Desk,Furniture,5,310000,0.15,1317500.0,Mobile App,Naver Pay,No,5
T0026,2026-01-29,C002,Busan,Standard,P004,Office Chair,Furniture,1,220000,0,220000,In-Store,KakaoPay,No,4
T0027,2026-03-22,C001,Seoul,Premium,P002,Smartphone,Electronics,1,950000,0,950000,Online,Credit Card,No,4
T0028,2026-02-05,C009,Jeju,Standard,P004,Office Chair,Furniture,2,220000,0,440000,Mobile App,Naver Pay,No,
T0029,2026-02-22,C004,Daegu,Standard,P008,Notebook,Stationery,1,6000,0,6000,In-Store,Naver Pay,No,4
T0030,2026-01-07,C007,Suwon,Basic,P008,Notebook,Stationery,2,6000,0.15,10200.0,Online,Bank Transfer,No,5
T0031,2026-01-25,C002,Busan,Standard,P004,Office Chair,Furniture,1,220000,0.05,209000.0,Mobile App,Bank Transfer,No,4
T0032,2026-01-10,C008,Ulsan,Premium,P004,Office Chair,Furniture,1,220000,0.1,198000.0,In-Store,Credit Card,No,
T0033,2026-01-22,C002,Busan,Standard,P004,Office Chair,Furniture,1,220000,0.05,209000.0,Online,Credit Card,No,5
T0034,2026-01-01,C003,Incheon,Premium,P007,Green Tea,Grocery,5,18000,0,90000,Mobile App,Bank Transfer,No,5
T0035,2026-03-13,C007,Suwon,Basic,P012,Monitor,Electronics,2,390000,0.05,741000.0,In-Store,KakaoPay,No,4
T0036,2026-03-11,C001,Seoul,Premium,P010,Backpack,Accessories,1,85000,0,85000,Online,Naver Pay,Yes,5
T0037,2026-01-21,C009,Jeju,Standard,P009,Pen Set,Stationery,1,12000,0.1,10800.0,Mobile App,Credit Card,No,4
T0038,2026-03-28,C010,Sejong,Premium,P002,Smartphone,Electronics,4,950000,0.05,3610000.0,In-Store,KakaoPay,No,5
T0039,2026-01-06,C010,Sejong,Premium,P010,Backpack,Accessories,2,85000,0.05,161500.0,Online,Bank Transfer,No,5
T0040,2026-03-27,C005,Daejeon,Basic,P004,Office Chair,Furniture,3,220000,0,660000,Mobile App,Bank Transfer,No,4
T0041,2026-01-10,C008,Ulsan,Premium,P006,Coffee Beans,Grocery,1,25000,0.1,22500.0,In-Store,Credit Card,No,3
T0042,2026-03-06,C009,Jeju,Standard,P004,Office Chair,Furniture,1,220000,0,220000,Online,Bank Transfer,No,4
T0043,2026-02-26,C005,Daejeon,Basic,P003,Headphones,Electronics,3,150000,0.15,382500.0,Mobile App,Credit Card,No,
T0044,2026-02-08,C011,Yongin,Basic,P009,Pen Set,Stationery,4,12000,0,48000,In-Store,Bank Transfer,No,4
T0045,2026-03-12,C002,Busan,Standard,P002,Smartphone,Electronics,1,950000,0,950000,Online,Bank Transfer,No,
T0046,2026-03-23,C004,Daegu,Standard,P011,Water Bottle,Accessories,4,22000,0.1,79200.0,Mobile App,Credit Card,No,3
T0047,2026-02-05,C011,Yongin,Basic,P007,Green Tea,Grocery,1,18000,0,18000,In-Store,Bank Transfer,No,
T0048,2026-02-26,C003,Incheon,Premium,P012,Monitor,Electronics,2,390000,0.05,741000.0,Online,Credit Card,No,3
T0049,2026-03-11,C012,Anyang,Standard,P003,Headphones,Electronics,1,150000,0,150000,Mobile App,Naver Pay,No,4
T0050,2026-02-09,C003,Incheon,Premium,P001,Laptop,Electronics,1,1200000,0,1200000,In-Store,KakaoPay,No,4
T0051,2026-02-15,C011,Yongin,Basic,P002,Smartphone,Electronics,3,950000,0.05,2707500.0,Online,KakaoPay,No,
T0052,2026-01-23,C004,Daegu,Standard,P003,Headphones,Electronics,4,150000,0,600000,Mobile App,Naver Pay,No,4
T0053,2026-02-01,C011,Yongin,Basic,P012,Monitor,Electronics,1,390000,0.15,331500.0,In-Store,Naver Pay,No,3
